bathrooms,bathroomsFull,bedrooms,fireplaceFeatures,fireplaces,garageSpaces,hasAttachedGarage,hasCarport,hasHeating,hasPetsAllowed,heating,homeType,id,latitude,laundryFeatures,livingArea,longitude,mortgageRates_arm5Rate,mortgageRates_fifteenYearFixedRate,mortgageRates_thirtyYearFixedRate,parkingFeatures,price,propertyTaxRate,schools,solarBuildFactor,solarClimateFactor,solarElectricityFactor,solarFactor,solarSunScore,specialListingConditions,streetAddress,taxAnnualAmount,taxAssessedValue,yearBuilt,zipcode
2.0,1.0,2.0,"['Brick', 'Wood Burning']",1.0,0.0,False,False,False,False,No information,SingleFamily,15161166,1918.0,No information,1183.0,-122.4162368774414,2.752,2.7060000000000004,3.062,['No Garage'],1199000,0.67,"[{'distance': 0.3, 'name': 'Flynn (Leonard R.) Elementary School', 'rating': 2, 'level': 'Elementary', 'studentsPerTeacher': 13, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06366&state=CA', 'type': 'Public', 'size': 432, 'totalCount': 1, 'isAssigned': True}, {'distance': 1, 'name': 'Lick (James) Middle School', 'rating': 3, 'level': 'Middle', 'studentsPerTeacher': 17, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06392&state=CA', 'type': 'Public', 'size': 568, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.9, 'name': ""O'connell (John) High School"", 'rating': 3, 'level': 'High', 'studentsPerTeacher': 9, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=06417&state=CA', 'type': 'Public', 'size': 480, 'totalCount': 1, 'isAssigned': True}]",70.4,6.62,5.02,1.0,83.04,Standard,17 Elsie St,16633.0,1331711.0,1918.0,94110
2.0,1.0,3.0,No information,0.0,0.0,False,False,False,False,No information,SingleFamily,15193155,0.0,No information,1450.0,-122.46504974365234,2.752,2.7060000000000004,3.062,"['Garage Door Opener', 'Independent', 'On Site (Single Family Only)']",1195000,0.67,"[{'distance': 0.1, 'name': 'Ortega (Jose) Elementary School', 'rating': 7, 'level': 'Elementary', 'studentsPerTeacher': 19, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06418&state=CA', 'type': 'Public', 'size': 399, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.8, 'name': 'Aptos Middle School', 'rating': 6, 'level': 'Middle', 'studentsPerTeacher': 17, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06337&state=CA', 'type': 'Public', 'size': 976, 'totalCount': 1, 'isAssigned': True}, {'distance': 1.4, 'name': 'Leadership High School', 'rating': 5, 'level': 'High', 'studentsPerTeacher': 12, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=06391&state=CA', 'type': 'Charter', 'size': 324, 'totalCount': 1, 'isAssigned': True}]",72.0,6.62,5.02,0.96,84.6,Standard,318 Victoria St,14297.0,1134035.0,0.0,94132
2.0,2.0,4.0,No information,0.0,0.0,False,False,True,True,"['Central', 'Radiant']",Condo,15078075,1890.0,"['Laundry Closet', 'Sink']",1905.0,-122.43402862548828,2.752,2.7060000000000004,3.062,"['Assigned', 'Garage Faces Front', 'Independent', 'On Site']",1785000,0.67,"[{'distance': 0.4, 'name': 'Parks (Rosa) Elementary School', 'rating': 4, 'level': 'Elementary', 'studentsPerTeacher': 16, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06420&state=CA', 'type': 'Public', 'size': 476, 'totalCount': 1, 'isAssigned': True}, {'distance': 3.5, 'name': 'Presidio Middle School', 'rating': 8, 'level': 'Middle', 'studentsPerTeacher': 18, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06423&state=CA', 'type': 'Public', 'size': 1060, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.2, 'name': 'Wells (Ida B.) High School', 'rating': 2, 'level': 'High', 'studentsPerTeacher': 9, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=06452&state=CA', 'type': 'Public', 'size': 165, 'totalCount': 1, 'isAssigned': True}]",75.2,6.62,5.02,2.8,89.64,Standard,1334 Mcallister St,24110.0,1978086.0,1890.0,94115
4.0,3.0,3.0,"['Living Room', 'Wood Burning']",1.0,0.0,False,False,False,False,No information,SingleFamily,15128076,1977.0,"['Cabinets', 'Ground Floor', 'Inside Room']",2800.0,-122.4542236328125,2.752,2.7060000000000004,3.062,"['Covered', 'Enclosed', 'Garage Door Opener', 'Garage Faces Front', 'Garage Faces Side', 'Interior Access', 'Private', 'See Remarks', 'Independent', 'On Site (Single Family Only)', 'Shared Driveway']",2995000,0.67,"[{'distance': 0.2, 'name': 'Grattan Elementary School', 'rating': 7, 'level': 'Elementary', 'studentsPerTeacher': 19, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06375&state=CA', 'type': 'Public', 'size': 387, 'totalCount': 1, 'isAssigned': True}, {'distance': 2.8, 'name': 'Giannini (A.P.) Middle School', 'rating': 8, 'level': 'Middle', 'studentsPerTeacher': 20, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06372&state=CA', 'type': 'Public', 'size': 1188, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.6, 'name': 'Independence High School', 'rating': 3, 'level': 'High', 'studentsPerTeacher': 12, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=11136&state=CA', 'type': 'Public', 'size': 186, 'totalCount': 1, 'isAssigned': True}]",76.8,6.62,5.02,0.8,89.24,Standard,55 Belmont Ave,4306.0,304537.0,1977.0,94117
2.0,1.0,3.0,"['Brick', 'Decorative', 'Dining Room', 'Gas Starter', 'Living Room']",2.0,0.0,True,False,True,True,"['Central', 'Radiant']",Condo,63196930,1908.0,['Laundry Closet'],1924.0,-122.44442749023438,2.752,2.7060000000000004,3.062,"['Attached', 'Covered', 'Side By Side', 'Side by Side', 'On Site - Unassigned (Condo Only)']",1695000,0.67,"[{'distance': 0.5, 'name': 'McKinley Elementary School', 'rating': 7, 'level': 'Elementary', 'studentsPerTeacher': 18, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06407&state=CA', 'type': 'Public', 'size': 383, 'totalCount': 1, 'isAssigned': True}, {'distance': 1.1, 'name': 'Everett Middle School', 'rating': 4, 'level': 'Middle', 'studentsPerTeacher': 13, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06363&state=CA', 'type': 'Public', 'size': 694, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.6, 'name': 'Wallenberg (Raoul) Traditional High School', 'rating': 7, 'level': 'High', 'studentsPerTeacher': 13, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=06449&state=CA', 'type': 'Public', 'size': 626, 'totalCount': 1, 'isAssigned': True}]",66.4,6.62,5.02,0.8,78.84,Standard,1439 Page St,17727.0,1424362.0,1908.0,94117
2.0,2.0,3.0,No information,0.0,0.0,False,False,True,True,"['Central', 'Fireplace(s)']",Condo,241585847,1900.0,['Laundry Closet'],1600.0,-122.43624877929688,2.752,2.7060000000000004,3.062,"['Garage Door Opener', 'Size Limited', 'Independent', 'On Site']",2495000,0.67,"[{'distance': 0.5, 'name': 'Muir (John) Elementary School', 'rating': 7, 'level': 'Elementary', 'studentsPerTeacher': 12, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06414&state=CA', 'type': 'Public', 'size': 225, 'totalCount': 1, 'isAssigned': True}, {'distance': 1.8, 'name': 'Lick (James) Middle School', 'rating': 3, 'level': 'Middle', 'studentsPerTeacher': 17, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06392&state=CA', 'type': 'Public', 'size': 568, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.2, 'name': 'Wells (Ida B.) High School', 'rating': 2, 'level': 'High', 'studentsPerTeacher': 9, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=06452&state=CA', 'type': 'Public', 'size': 165, 'totalCount': 1, 'isAssigned': True}]",78.4,6.62,5.02,0.8,90.84,Standard,816 Scott St,26226.0,2122416.0,1900.0,94117
2.0,2.0,3.0,No information,0.0,0.0,False,False,True,False,"['Central', 'Wall Furnace']",MultiFamily,332861762,1900.0,No information,1390.0,-122.41857147216795,2.752,2.7060000000000004,3.062,[None],1150000,0.67,"[{'distance': 0.5, 'name': 'Flynn (Leonard R.) Elementary School', 'rating': 2, 'level': 'Elementary', 'studentsPerTeacher': 13, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06366&state=CA', 'type': 'Public', 'size': 432, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.9, 'name': 'Lick (James) Middle School', 'rating': 3, 'level': 'Middle', 'studentsPerTeacher': 17, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06392&state=CA', 'type': 'Public', 'size': 568, 'totalCount': 1, 'isAssigned': True}, {'distance': 1, 'name': ""O'connell (John) High School"", 'rating': 3, 'level': 'High', 'studentsPerTeacher': 9, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=06417&state=CA', 'type': 'Public', 'size': 480, 'totalCount': 1, 'isAssigned': True}]",64.8,6.62,5.02,1.0,77.44,Standard,40 Lundys Ln,1787.0,70293.0,1900.0,94110
1.0,1.0,1.0,['Decorative'],1.0,0.0,False,False,False,True,No information,Condo,2071178404,1975.0,No information,676.0,-122.43800354003906,2.207,2.04,2.702,"['Covered', 'Garage Door Opener', 'Independent', 'On Site']",412932,0.67,"[{'distance': 0.8, 'name': 'Miraloma Elementary School', 'rating': 8, 'level': 'Elementary', 'studentsPerTeacher': 15, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06409&state=CA', 'type': 'Public', 'size': 391, 'totalCount': 1, 'isAssigned': True}, {'distance': 1.2, 'name': 'Denman (James) Middle School', 'rating': 4, 'level': 'Middle', 'studentsPerTeacher': 16, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06358&state=CA', 'type': 'Public', 'size': 835, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.7, 'name': 'Asawa (Ruth) San Francisco School Of The Arts, A Public School.', 'rating': 9, 'level': 'High', 'studentsPerTeacher': 18, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=06339&state=CA', 'type': 'Public', 'size': 795, 'totalCount': 1, 'isAssigned': True}]",72.0,6.62,5.02,1.64,85.28,Housing Assist Program,60 Ora Way UNIT H102,18066.461693548386,1436531.3676767678,1975.0,94131
5.0,4.0,4.0,No information,0.0,0.0,False,False,True,False,['Radiant'],SingleFamily,15081427,1926.0,"['Laundry Chute', 'In Basement', 'Inside Room']",4673.0,-122.4476318359375,2.752,2.7060000000000004,3.062,"['Covered', 'Detached', 'Enclosed', 'Garage Door Opener', 'Garage Faces Front', 'Side By Side', 'Uncovered Parking Spaces 2+', 'Independent', 'On Site (Single Family Only)', 'Driveway']",7495000,0.67,"[{'distance': 1.5, 'name': 'Sutro Elementary School', 'rating': 8, 'level': 'Elementary', 'studentsPerTeacher': 16, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06439&state=CA', 'type': 'Public', 'size': 262, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.9, 'name': 'Roosevelt Middle School', 'rating': 9, 'level': 'Middle', 'studentsPerTeacher': 18, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06427&state=CA', 'type': 'Public', 'size': 694, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.6, 'name': 'Wallenberg (Raoul) Traditional High School', 'rating': 7, 'level': 'High', 'studentsPerTeacher': 13, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=06449&state=CA', 'type': 'Public', 'size': 626, 'totalCount': 1, 'isAssigned': True}]",80.0,6.62,5.02,2.32,93.96,Standard,145 Presidio Ave,88755.0,7344000.0,1926.0,94115
5.0,4.0,4.0,No information,0.0,0.0,False,False,True,False,"['Central', 'Gas']",SingleFamily,125164123,2018.0,"['Cabinets', 'Inside Room']",5165.0,-122.43424224853516,2.752,2.7060000000000004,3.062,"['Electric Vehicle Charging Station(s)', 'Interior Access', 'Independent', 'On Site (Single Family Only)']",6600000,0.67,"[{'distance': 0.6, 'name': 'Alvarado Elementary School', 'rating': 7, 'level': 'Elementary', 'studentsPerTeacher': 16, 'assigned': None, 'grades': 'K-5', 'link': 'https://www.greatschools.org/school?id=06336&state=CA', 'type': 'Public', 'size': 515, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.3, 'name': 'Lick (James) Middle School', 'rating': 3, 'level': 'Middle', 'studentsPerTeacher': 17, 'assigned': None, 'grades': '6-8', 'link': 'https://www.greatschools.org/school?id=06392&state=CA', 'type': 'Public', 'size': 568, 'totalCount': 1, 'isAssigned': True}, {'distance': 0.9, 'name': 'Asawa (Ruth) San Francisco School Of The Arts, A Public School.', 'rating': 9, 'level': 'High', 'studentsPerTeacher': 18, 'assigned': None, 'grades': '9-12', 'link': 'https://www.greatschools.org/school?id=06339&state=CA', 'type': 'Public', 'size': 795, 'totalCount': 1, 'isAssigned': True}]",75.2,6.62,5.02,1.64,88.48,Standard,645 Duncan St,81471.0,6732000.0,2018.0,94131
